你知道的—当一个人情绪低落的时候，他会格外喜欢看日落……	You know — one loves the sunset, when one is so sad…
人还是必须用心去看……	One must look with the heart…
每一个人都有自己的星星，但其中的含意却因人而异。	All men have the stars, but they are not the same things for different people.
对旅人而言，星星是向导；对其他人而言，它们只不过是天际中闪闪发光的小东西而已；对学者而言，星星则是一门待解的难题；对我那位商人来说，它们就是财富。	For some, who are travelers, the stars are guides. For others they are no more than little lights in the sky. For others, who are scholars, they are problems. For my businessman they were wealth.
不过，星星本身是沉默的。	But all these stars are silent.
你——只有你——了解这些星星与众不同的含义……	You – you alone – will have the stars as no one else has them…
我就在繁星中的一颗上生活。	In one of the stars I shall be living.
我会站在其中的一颗星星上微笑。	In one of them I shall be laughing.
当你在夜间仰望天际时，就仿佛每一颗星星都在笑……你——只有你——才能拥有会笑的星星……	And so it will be as if all the stars were laughing, when you look at the sky at night… You – only you – will have stars that can laugh…
当你不再感到伤心的时候(时间会冲淡一切伤痛)，你就会因认识我而感到心满意足。	And when your sorrow is comforted time soothes all sorrows you will be content that you have known me.
你是我永远的朋友。	You will always be my friend.
将会和我一起欢笑。	You will want to laugh with me.
为了欢乐，你会经常打开窗子……当你的朋友看到你因仰望天空而大笑时，一定会感到莫名其妙！	And you will sometimes open your window, so, for that pleasure… And your friends will be properly astonished to see you laughing as you look up at the sky!
到时候，你可以对他们说：“是的，星星总让我开心而笑！”	Then you will say to them, "Yes, the stars always make me laugh!"
但是，大人们永远也不会了解这件事有多么重要！	And no grown-ups will ever understand that this is a matter of so much importance!
